2026-03-22 05:37:32,913 | member_id=4 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:37:57,266 | member_id=4 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:38:00,329 | member_id=4 | action=VIEW_PORTFOLIO | table=Member | record_id=4 | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:38:03,388 | member_id=4 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:38:06,022 | member_id=4 | action=LOGOUT | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:38:14,157 | member_id=2 | action=LOGIN_SUCCESS | table=UserLogin | record_id=2 | ip=127.0.0.1 | session_valid=True | details=username=priya
2026-03-22 05:38:14,169 | member_id=2 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:38:16,821 | member_id=2 | action=VIEW_PORTFOLIO | table=Member | record_id=2 | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:38:23,628 | member_id=2 | action=VIEW_PORTFOLIO | table=Member | record_id=2 | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:38:24,262 | member_id=2 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:38:27,493 | member_id=2 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:38:41,412 | member_id=2 | action=VIEW_DOCUMENTS_PAGE | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:49:17,276 | member_id=1 | action=LOGIN_SUCCESS | table=UserLogin | record_id=1 | ip=127.0.0.1 | session_valid=True | details=username=admin
2026-03-22 05:49:17,278 | member_id=10 | action=LOGIN_SUCCESS | table=UserLogin | record_id=10 | ip=127.0.0.1 | session_valid=True | details=username=diya
2026-03-22 05:49:17,282 | member_id=1 | action=API_CREATE_DOCUMENT | table=Document | record_id=24 | ip=127.0.0.1 | session_valid=True | details=title=ReviewTemp-5478e806
2026-03-22 05:49:17,285 | member_id=1 | action=API_UPDATE_DOCUMENT | table=Document | record_id=24 | ip=127.0.0.1 | session_valid=True | details=fields=['Description']
2026-03-22 05:49:17,287 | member_id=1 | action=API_DELETE_DOCUMENT | table=Document | record_id=24 | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:29,235 | member_id=1 | action=LOGIN_SUCCESS | table=UserLogin | record_id=1 | ip=127.0.0.1 | session_valid=True | details=username=admin
2026-03-22 05:51:29,899 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:29,932 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:29,964 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:29,996 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,036 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,069 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,101 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,133 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,165 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,197 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,229 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,263 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,295 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,328 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,361 | member_id=1 | action=API_LIST_DOCUMENTS | table=Document | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,367 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,369 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,371 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,372 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,374 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,375 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,376 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,378 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,379 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,381 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,382 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,383 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,385 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,388 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,391 | member_id=1 | action=API_LIST_FOLDERS | table=Folder | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
2026-03-22 05:51:30,427 | member_id=1 | action=VIEW_DASHBOARD | table=None | record_id=None | ip=127.0.0.1 | session_valid=True | details=None
